Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,14605.333333333334,4571.0,14938.0,14291.46111111111,20009.030555555557,16534.833333333332,10414.666666666666,3720.5,3387.6666666666665,24891.666666666668,24502.5,7291.0,9236.833333333334,10376.333333333334
2007,16533.666666666668,5513.666666666667,15759.333333333334,14291.46111111111,20009.030555555557,17085.833333333332,10612.666666666666,5527.666666666667,4032.0,25715.333333333332,25422.0,7619.0,10068.666666666666,10969.0
2008,17155.0,6056.0,16646.666666666668,12163.0,18538.2,15732.166666666666,10258.333333333334,6257.666666666667,4461.666666666667,26599.166666666668,26395.0,7556.833333333333,10923.0,12531.333333333334
2009,17410.666666666668,5320.166666666667,16320.0,17612.0,23039.0,14719.833333333334,10631.833333333334,4726.333333333333,3640.5,26398.333333333332,26759.0,7651.0,10345.0,12149.666666666666
2010,17003.0,5173.333333333333,16738.666666666668,18015.0,23672.5,14852.833333333334,10663.666666666666,4232.666666666667,3109.0,26375.333333333332,21860.0,7775.166666666667,10398.0,11533.666666666666
2011,17492.666666666668,5726.166666666667,17486.0,15029.2,19787.0,14617.166666666666,10644.0,4646.5,3699.1666666666665,26891.5,18933.333333333332,7509.166666666667,10238.5,11222.666666666666
2012,18017.333333333332,6310.333333333333,18152.333333333332,12881.666666666666,17544.0,15364.833333333334,10711.666666666666,4902.166666666667,3924.6666666666665,26961.833333333332,21087.5,6901.833333333333,10036.0,10400.333333333334
2013,18943.0,7096.166666666667,18392.0,12930.0,17725.666666666668,15708.833333333334,10595.666666666666,5466.666666666667,4247.333333333333,27917.333333333332,19050.0,7230.0,9930.0,10125.666666666666
2014,18879.333333333332,8020.333333333333,18556.666666666668,13116.666666666666,18202.666666666668,16899.666666666668,10887.0,6126.333333333333,4638.333333333333,28642.0,19400.0,7371.666666666667,10534.666666666666,10310.0
2015,19133.0,8373.333333333334,18762.0,13206.666666666666,18791.333333333332,17831.0,11017.333333333334,6716.333333333333,4991.0,26669.0,19866.666666666668,7913.0,10516.666666666666,10631.0
2016,20239.666666666668,8741.0,18835.666666666668,13460.0,19202.666666666668,18709.0,11261.0,7016.333333333333,5553.666666666667,27771.333333333332,20233.333333333332,7874.4358974358975,11055.333333333334,11209.666666666666
2017,20481.0,9820.0,19366.666666666668,13756.666666666666,20147.666666666668,20735.333333333332,11445.666666666666,7862.666666666667,6080.666666666667,28318.0,20900.0,8404.333333333334,11708.666666666666,11731.333333333334
2018,20876.0,9997.0,19949.333333333332,14460.0,21068.333333333332,21504.666666666668,11771.666666666666,8536.333333333334,6617.666666666667,33382.0,21666.666666666668,9057.666666666666,12407.666666666666,12085.0
2019,21773.333333333332,11163.666666666666,20649.666666666668,14866.666666666666,22389.333333333332,16945.846153846152,10839.628205128205,9097.666666666666,9248.666666666666,32908.333333333336,22633.333333333332,10087.0,13286.333333333334,13136.333333333334
2020,18467.357142857145,7277.297619047619,20579.333333333332,14291.46111111111,20009.030555555557,16945.846153846152,10839.628205128205,9751.0,4830.857142857143,27817.226190476187,23433.333333333332,7874.4358974358975,10763.238095238095,11315.142857142857
